Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
258,11.9609054783541,25.4314375640436,18.5536949268261,-5.60290712045642,10.1868506156202,wave,wave,wave,wave
259,11.638712355717,23.943291032441,17.8321607242615,-5.1998763432279,9.54445095699475,wave,wave,wave,wave
260,12.1639546436302,25.1633419160605,19.0419215986187,-5.87376140532075,9.87337817568062,wave,wave,wave,wave
261,11.7403060204487,24.0824027396657,18.2453499357497,-5.50617012856356,9.42491016579706,wave,wave,wave,wave
262,11.8503355420173,23.9145870531006,18.9575665720811,-6.10661692526042,8.67146724174038,wave,wave,wave,wave
263,11.5810038254068,24.0355036451088,17.3089611845298,-4.74659178951359,9.43968365204321,wave,wave,wave,wave
264,11.8303809472148,24.2545017609706,18.8180264759289,-5.99456433867608,9.09961270079399,wave,wave,wave,wave
265,11.9609455064691,25.0574747080452,18.5851849587113,-5.6316877582331,9.59341011563239,wave,wave,wave,wave
266,11.5850265606529,22.6658470351821,18.7578136141936,-6.18384367706999,8.19171664319635,wave,wave,wave,wave
267,11.8546570263004,24.6385115358425,18.2149182468363,-5.36152696988268,10.1663600380034,wave,wave,wave,wave
268,11.9616617881647,24.448731416481,18.8078728626976,-5.84965501765681,9.37247628771708,wave,wave,wave,wave
269,12.0548000120079,24.8387865264463,18.4031058809544,-5.34414023203142,9.99121174558315,wave,wave,wave,wave
270,11.5365295650724,23.2249524792674,18.3196641666825,-5.78669848834825,8.73108394784515,wave,wave,wave,wave
271,11.9879797909905,24.829898079448,18.6942799843722,-5.70664089945593,9.6960724203128,wave,wave,wave,wave
272,12.0984235791523,25.2543018279854,18.9750934060555,-5.8825192191877,9.99860616698023,wave,wave,wave,wave
273,11.500665157819,23.1666407831137,17.9814383854572,-5.4906928925353,8.75132821506175,wave,wave,wave,wave
